family,config,noise_pm,conv_pct,med_step,wall_per_conv,topo_pct,rmsd_pct,recovery_pp
Sella,Sella cartesian Eckart untuned Hess.Freq.=1,10,92.6829268292683,4.0,14.490188137032932,89.19860627177701,45.64459930313589,-3.484320557491287
Sella,Sella cartesian Eckart untuned Hess.Freq.=1,30,91.98606271777004,6.0,15.833150052663052,89.19860627177701,46.34146341463415,-2.7874564459930298
Sella,Sella cartesian Eckart untuned Hess.Freq.=1,50,88.15331010452962,7.0,23.16971460821129,87.45644599303135,44.599303135888505,-0.6968641114982717
Sella,Sella cartesian Eckart untuned Hess.Freq.=1,100,70.73170731707317,9.0,65.1524997838025,72.47386759581882,36.58536585365854,1.7421602787456436
Sella,Sella cartesian Eckart untuned Hess.Freq.=1,150,54.00696864111498,11.0,132.5939099773284,49.825783972125436,24.738675958188153,-4.181184668989545
Sella,Sella cartesian Eckart untuned Hess.Freq.=1,200,27.177700348432055,13.0,393.8389519544748,23.34494773519164,10.104529616724738,-3.832752613240416
Sella,Sella cartesian Eckart untuned Hess.Freq.=3,10,96.51567944250871,5.0,13.806591098489314,,,
Sella,Sella cartesian Eckart untuned Hess.Freq.=3,30,95.47038327526133,8.0,14.565716217034055,,,
Sella,Sella cartesian Eckart untuned Hess.Freq.=3,50,91.98606271777004,9.0,23.05899294849598,,,
Sella,Sella cartesian Eckart untuned Hess.Freq.=3,100,72.82229965156795,11.0,69.27433108713068,,,
Sella,Sella cartesian Eckart untuned Hess.Freq.=3,150,50.52264808362369,14.0,156.29631463741433,,,
Sella,Sella cartesian tuned Hess.Freq.=1,10,91.98606271777004,4.0,14.380890198729254,88.85017421602788,46.34146341463415,-3.1358885017421585
Sella,Sella cartesian tuned Hess.Freq.=1,30,91.28919860627178,6.0,16.178465626621975,88.85017421602788,45.99303135888502,-2.439024390243901
Sella,Sella cartesian tuned Hess.Freq.=1,50,87.45644599303135,7.0,22.707502268225074,87.45644599303135,44.599303135888505,0.0
Sella,Sella cartesian tuned Hess.Freq.=1,100,65.50522648083624,10.5,79.27168152941034,70.73170731707317,35.54006968641115,5.226480836236931
Sella,Sella cartesian tuned Hess.Freq.=1,150,42.857142857142854,16.0,208.43773039182028,46.68989547038328,22.299651567944252,3.832752613240423
Sella,Sella cartesian tuned Hess.Freq.=1,200,18.81533101045296,20.0,660.6774566703373,17.770034843205575,8.710801393728223,-1.0452961672473862
Sella,Sella internal tuned Hess.Freq.=1,10,79.09407665505226,4.0,54.15795522849465,88.15331010452962,45.64459930313589,9.059233449477361
Sella,Sella internal tuned Hess.Freq.=1,30,77.35191637630662,6.0,57.86675889320202,87.45644599303135,44.599303135888505,10.104529616724733
Sella,Sella internal tuned Hess.Freq.=1,50,71.77700348432056,9.0,75.87445249719528,83.27526132404181,41.81184668989547,11.498257839721248
Sella,Sella internal tuned Hess.Freq.=1,100,50.87108013937282,17.0,181.79566621617096,64.45993031358886,31.358885017421603,13.588850174216034
hybrid,Hybrid damped Eckart eig tr=0.05,10,85.36585365853658,6.0,11.049741496845167,89.19860627177701,45.99303135888502,3.83275261324043
hybrid,Hybrid damped Eckart eig tr=0.05,30,85.01742160278745,12.0,11.982082695257468,88.85017421602788,45.99303135888502,3.83275261324043
hybrid,Hybrid damped Eckart eig tr=0.05,50,81.53310104529616,19.0,15.651485710062532,88.85017421602788,44.94773519163763,7.317073170731717
hybrid,Hybrid damped Eckart eig tr=0.05,100,66.89895470383276,36.5,34.85987463593483,76.65505226480836,37.63066202090592,9.756097560975604
hybrid,Hybrid damped Eckart eig tr=0.05,150,50.87108013937282,61.0,65.03591520492344,57.491289198606275,28.222996515679444,6.620209059233453
hybrid,Hybrid damped Eckart eig tr=0.05,200,33.10104529616725,95.0,130.68051676499215,38.67595818815331,18.118466898954704,5.5749128919860595
hybrid,Hybrid undamped Eckart eig tr=0.05,10,84.66898954703832,6.0,11.303289935422042,88.85017421602788,45.99303135888502,4.181184668989559
hybrid,Hybrid undamped Eckart eig tr=0.05,30,84.3205574912892,14.0,12.659817191194897,88.85017421602788,46.34146341463415,4.529616724738688
hybrid,Hybrid undamped Eckart eig tr=0.05,50,81.53310104529616,21.0,15.746819175206697,88.50174216027875,44.94773519163763,6.968641114982589
hybrid,Hybrid undamped Eckart eig tr=0.05,100,65.50522648083624,39.5,39.60346121990934,77.00348432055749,38.32752613240418,11.498257839721248
hybrid,Hybrid undamped Eckart eig tr=0.05,150,49.825783972125436,65.0,65.77437869318716,57.142857142857146,27.526132404181183,7.31707317073171
hybrid,Hybrid undamped Eckart eig tr=0.05,200,31.010452961672474,95.0,140.33058650038217,38.67595818815331,17.770034843205575,7.665505226480835
plain GAD,GAD dt=0.003,10,89.19860627177701,165.5,54.18113253172487,88.50174216027875,46.34146341463415,-0.6968641114982574
plain GAD,GAD dt=0.003,30,88.50174216027875,337.5,67.46486440606004,89.19860627177701,46.34146341463415,0.6968641114982574
plain GAD,GAD dt=0.003,50,85.36585365853658,458.0,88.74974588374702,88.85017421602788,46.34146341463415,3.4843205574913014
plain GAD,GAD dt=0.003,100,71.0801393728223,757.5,183.8244308548815,78.397212543554,40.069686411149824,7.317073170731703
plain GAD,GAD dt=0.003,150,55.05226480836237,993.0,326.7610027231748,60.97560975609756,31.010452961672474,5.923344947735195
plain GAD,GAD dt=0.003,200,40.76655052264808,1196.0,534.1372911604042,44.599303135888505,21.60278745644599,3.832752613240423
plain GAD,GAD dt=0.005,10,89.19860627177701,99.5,47.718090928159654,88.85017421602788,46.34146341463415,-0.3484320557491287
plain GAD,GAD dt=0.005,30,88.50174216027875,203.5,57.11258507056499,89.19860627177701,46.68989547038328,0.6968641114982574
plain GAD,GAD dt=0.005,50,85.71428571428571,278.0,74.28573341195177,88.85017421602788,45.64459930313589,3.1358885017421727
plain GAD,GAD dt=0.005,100,71.77700348432056,458.0,156.00569314053914,78.04878048780488,40.069686411149824,6.271777003484317
plain GAD,GAD dt=0.005,150,57.142857142857146,613.5,278.49003429383765,61.67247386759582,31.358885017421603,4.529616724738673
plain GAD,GAD dt=0.005,200,43.20557491289198,738.0,472.32064827411403,44.599303135888505,21.254355400696863,1.393728222996522
plain GAD,GAD dt=0.007,10,89.19860627177701,73.0,46.60156236682087,88.50174216027875,46.34146341463415,-0.6968641114982574
plain GAD,GAD dt=0.007,30,88.85017421602788,145.0,51.11959925258861,88.50174216027875,45.64459930313589,-0.3484320557491287
plain GAD,GAD dt=0.007,50,85.71428571428571,200.0,67.94983519577399,88.50174216027875,46.34146341463415,2.787456445993044
plain GAD,GAD dt=0.007,100,72.82229965156795,332.0,140.6631210101278,78.397212543554,40.069686411149824,5.5749128919860595
plain GAD,GAD dt=0.007,150,58.18815331010453,437.0,260.873949098016,61.67247386759582,30.662020905923345,3.484320557491287
plain GAD,GAD dt=0.007,200,44.599303135888505,546.0,440.8592885937542,43.90243902439025,20.905923344947734,-0.6968641114982574
