noise_pm,n,fmax_005,fmax_023,fmax_010,fmax_005t,fmax_001,method
10,287.0,98.60627177700349,95.47038327526133,89.19860627177701,0.0,0.0,GAD dt=0.003
30,287.0,98.25783972125436,95.1219512195122,88.50174216027875,0.0,0.0,GAD dt=0.003
50,287.0,95.1219512195122,91.63763066202092,85.36585365853658,0.0,0.0,GAD dt=0.003
100,287.0,82.92682926829268,77.35191637630662,71.0801393728223,0.0,0.0,GAD dt=0.003
150,287.0,71.77700348432056,63.066202090592334,55.05226480836237,0.0,0.0,GAD dt=0.003
200,287.0,62.717770034843205,52.26480836236934,40.76655052264808,0.0,0.0,GAD dt=0.003
10,287.0,98.25783972125436,95.81881533101046,89.19860627177701,0.0,0.0,GAD dt=0.005
30,287.0,97.90940766550524,95.1219512195122,88.50174216027875,0.0,0.0,GAD dt=0.005
50,287.0,94.77351916376308,91.28919860627178,85.71428571428571,0.0,0.0,GAD dt=0.005
100,287.0,82.57839721254355,78.04878048780488,71.77700348432056,0.0,0.0,GAD dt=0.005
150,287.0,71.0801393728223,63.76306620209059,57.142857142857146,0.0,0.0,GAD dt=0.005
200,287.0,63.066202090592334,53.65853658536585,43.20557491289198,0.0,0.0,GAD dt=0.005
10,287.0,98.25783972125436,95.1219512195122,89.19860627177701,0.0,0.0,GAD dt=0.007
30,287.0,97.90940766550524,95.47038327526133,88.85017421602788,0.0,0.0,GAD dt=0.007
50,287.0,94.77351916376308,91.63763066202092,85.71428571428571,0.0,0.0,GAD dt=0.007
100,287.0,82.57839721254355,77.70034843205575,72.82229965156795,0.0,0.0,GAD dt=0.007
150,287.0,71.42857142857143,64.11149825783973,58.18815331010453,0.0,0.0,GAD dt=0.007
200,287.0,68.29268292682927,56.44599303135889,44.599303135888505,0.0,0.0,GAD dt=0.007
10,287.0,97.21254355400696,93.03135888501744,85.36585365853658,7.317073170731708,0.0,Hybrid damped Eckart eig tr=0.05
30,287.0,96.86411149825784,92.33449477351915,85.01742160278745,9.40766550522648,0.0,Hybrid damped Eckart eig tr=0.05
50,287.0,93.03135888501744,88.50174216027875,81.53310104529616,10.801393728222996,0.0,Hybrid damped Eckart eig tr=0.05
100,287.0,78.04878048780488,73.5191637630662,66.89895470383276,9.059233449477352,0.0,Hybrid damped Eckart eig tr=0.05
150,287.0,59.58188153310105,55.749128919860624,50.87108013937282,6.968641114982578,0.0,Hybrid damped Eckart eig tr=0.05
200,287.0,44.94773519163763,37.63066202090592,33.10104529616725,6.620209059233449,0.0,Hybrid damped Eckart eig tr=0.05
10,287.0,96.51567944250873,93.03135888501744,84.66898954703832,8.710801393728223,0.0,Hybrid undamped Eckart eig tr=0.05
30,287.0,96.16724738675958,92.33449477351915,84.3205574912892,6.620209059233449,0.0,Hybrid undamped Eckart eig tr=0.05
50,287.0,92.6829268292683,88.15331010452962,81.53310104529616,8.710801393728223,0.0,Hybrid undamped Eckart eig tr=0.05
100,287.0,76.65505226480836,71.42857142857143,65.50522648083624,3.832752613240418,0.0,Hybrid undamped Eckart eig tr=0.05
150,287.0,59.58188153310105,54.70383275261324,49.82578397212544,4.181184668989547,0.0,Hybrid undamped Eckart eig tr=0.05
200,287.0,43.90243902439025,37.2822299651568,31.01045296167248,1.3937282229965158,0.0,Hybrid undamped Eckart eig tr=0.05
10,287.0,98.60627177700349,97.90940766550524,92.6829268292683,33.79790940766551,0.0,Sella cartesian Eckart untuned Hess.Freq.=1
30,287.0,98.25783972125436,97.5609756097561,91.98606271777004,32.055749128919864,0.0,Sella cartesian Eckart untuned Hess.Freq.=1
50,287.0,95.1219512195122,93.72822299651568,88.15331010452962,32.40418118466899,0.0,Sella cartesian Eckart untuned Hess.Freq.=1
100,287.0,83.27526132404181,77.70034843205575,70.73170731707317,24.73867595818816,0.0,Sella cartesian Eckart untuned Hess.Freq.=1
150,287.0,66.2020905923345,59.930313588850176,54.00696864111498,15.331010452961673,0.0,Sella cartesian Eckart untuned Hess.Freq.=1
200,287.0,45.99303135888502,39.02439024390244,27.17770034843205,6.968641114982578,0.0,Sella cartesian Eckart untuned Hess.Freq.=1
10,287.0,98.60627177700349,97.90940766550524,91.28919860627178,33.44947735191638,0.0,Sella cartesian Eckart untuned Hess.Freq.=3
30,287.0,97.5609756097561,96.86411149825784,90.2439024390244,31.70731707317073,0.3484320557491289,Sella cartesian Eckart untuned Hess.Freq.=3
50,287.0,94.77351916376308,93.37979094076655,88.15331010452962,32.055749128919864,0.0,Sella cartesian Eckart untuned Hess.Freq.=3
100,287.0,81.53310104529616,74.56445993031359,67.94425087108014,25.78397212543554,0.0,Sella cartesian Eckart untuned Hess.Freq.=3
150,287.0,58.18815331010453,53.65853658536585,48.08362369337979,14.982578397212544,0.0,Sella cartesian Eckart untuned Hess.Freq.=3
200,287.0,39.721254355400696,34.494773519163765,23.34494773519164,6.968641114982578,0.0,Sella cartesian Eckart untuned Hess.Freq.=3
10,287.0,98.60627177700349,97.90940766550524,91.98606271777004,35.88850174216028,0.0,Sella cartesian tuned Hess.Freq.=1
30,287.0,97.90940766550524,97.5609756097561,91.28919860627178,33.10104529616725,0.0,Sella cartesian tuned Hess.Freq.=1
50,287.0,94.42508710801394,93.03135888501744,87.45644599303135,34.14634146341464,0.0,Sella cartesian tuned Hess.Freq.=1
100,287.0,78.04878048780488,71.77700348432056,65.50522648083624,22.29965156794425,0.0,Sella cartesian tuned Hess.Freq.=1
150,287.0,53.65853658536585,48.43205574912892,42.85714285714285,15.6794425087108,0.0,Sella cartesian tuned Hess.Freq.=1
200,287.0,27.874564459930312,24.73867595818816,18.81533101045296,5.574912891986063,0.0,Sella cartesian tuned Hess.Freq.=1
10,287.0,94.42508710801394,89.54703832752614,79.09407665505226,25.43554006968641,0.0,Sella internal tuned Hess.Freq.=1
30,287.0,90.59233449477352,86.06271777003484,77.35191637630662,25.08710801393728,0.0,Sella internal tuned Hess.Freq.=1
50,287.0,84.66898954703832,79.09407665505226,71.77700348432056,27.874564459930312,0.0,Sella internal tuned Hess.Freq.=1
100,287.0,63.76306620209059,57.49128919860628,50.87108013937282,16.027874564459932,0.0,Sella internal tuned Hess.Freq.=1
150,287.0,37.2822299651568,32.40418118466899,26.82926829268293,9.40766550522648,0.0,Sella internal tuned Hess.Freq.=1
200,287.0,20.905923344947734,18.118466898954704,13.937282229965156,4.181184668989547,0.0,Sella internal tuned Hess.Freq.=1
