sample_idx,formula,fmax_eV_per_A
39,C3H5NO2,3.096824
143,C3H5NO2,3.105110
230,C5H5NO,3.288166
87,C3H5NO2,3.295320
165,C3H5NO2,3.330416
145,C3H5NO2,3.378989
229,C5H5NO,3.394347
149,C3H5NO2,3.427987
31,C3H5NO2,3.504068
32,C3H5NO2,3.508138
112,C3H5NO2,3.514114
231,C5H5NO,3.535088
83,C3H5NO2,3.550431
232,C5H5NO,3.565281
63,C3H5NO2,3.565332
164,C3H5NO2,3.571468
73,C3H5NO2,3.713310
48,C3H5NO2,3.720933
50,C3H5NO2,3.722093
7,C2H5NO2,3.723629
88,C3H5NO2,3.754743
97,C3H5NO2,3.773540
170,C3H5NO2,3.777265
10,C2H5NO2,3.795324
233,C5H5NO,3.880037
84,C3H5NO2,3.895838
91,C3H5NO2,3.920968
179,C3H8N2O,4.073870
286,C5H5NO,4.177177
185,C3H8N2O,4.200152
139,C3H5NO2,4.256677
96,C3H5NO2,4.298310
82,C3H5NO2,4.300527
167,C3H5NO2,4.301740
58,C3H5NO2,4.342230
5,C2H5NO2,4.396572
71,C3H5NO2,4.482178
46,C3H5NO2,4.487421
140,C3H5NO2,4.587656
55,C3H5NO2,4.641610
4,C2H3N3O2,4.700439
162,C3H5NO2,4.703041
85,C3H5NO2,4.709851
68,C3H5NO2,4.776876
62,C3H5NO2,4.815088
79,C3H5NO2,4.845457
65,C3H5NO2,4.871717
24,C3H5NO2,4.943537
181,C3H8N2O,4.948906
21,C3H5NO2,4.949431
37,C3H5NO2,4.982350
80,C3H5NO2,4.984248
16,C3H5NO2,4.991867
33,C3H5NO2,4.996330
81,C3H5NO2,5.003984
17,C3H5NO2,5.038152
41,C3H5NO2,5.294465
92,C3H5NO2,5.306281
49,C3H5NO2,5.371723
19,C3H5NO2,5.386097
173,C3H5NO2,5.574219
38,C3H5NO2,5.590942
93,C3H5NO2,5.594900
184,C3H8N2O,5.610925
61,C3H5NO2,5.628596
249,C5H5NO,5.636898
30,C3H5NO2,5.638654
25,C3H5NO2,5.664119
94,C3H5NO2,5.668195
113,C3H5NO2,5.669367
69,C3H5NO2,5.682816
103,C3H5NO2,5.696940
206,C5H5NO,5.698946
86,C3H5NO2,5.707578
98,C3H5NO2,5.707675
104,C3H5NO2,5.794630
90,C3H5NO2,5.810986
101,C3H5NO2,5.874672
75,C3H5NO2,5.900575
102,C3H5NO2,5.920534
23,C3H5NO2,5.971849
111,C3H5NO2,6.063837
76,C3H5NO2,6.112617
72,C3H5NO2,6.138351
47,C3H5NO2,6.140404
34,C3H5NO2,6.157946
117,C3H5NO2,6.172036
35,C3H5NO2,6.206703
78,C3H5NO2,6.233895
28,C3H5NO2,6.249946
66,C3H5NO2,6.283256
175,C3H5NO2,6.300863
51,C3H5NO2,6.338457
44,C3H5NO2,6.360440
176,C3H5NO2,6.362979
157,C3H5NO2,6.373896
153,C3H5NO2,6.401335
183,C3H8N2O,6.414541
64,C3H5NO2,6.464542
172,C3H5NO2,6.485517
136,C3H5NO2,6.494574
18,C3H5NO2,6.502365
22,C3H5NO2,6.515327
99,C3H5NO2,6.522211
151,C3H5NO2,6.522640
130,C3H5NO2,6.561168
70,C3H5NO2,6.566726
141,C3H5NO2,6.638081
182,C3H8N2O,6.668383
105,C3H5NO2,6.677353
180,C3H8N2O,6.694603
135,C3H5NO2,6.710150
200,C5H5NO,6.712907
118,C3H5NO2,6.737825
243,C5H5NO,6.742636
132,C3H5NO2,6.748373
134,C3H5NO2,6.749083
178,C3H8N2O,6.891303
100,C3H5NO2,6.897446
29,C3H5NO2,6.901923
204,C5H5NO,6.939982
146,C3H5NO2,6.957991
59,C3H5NO2,6.970270
67,C3H5NO2,6.983493
203,C5H5NO,6.987040
114,C3H5NO2,6.993225
108,C3H5NO2,7.000213
8,C2H5NO2,7.005054
168,C3H5NO2,7.111149
26,C3H5NO2,7.143914
106,C3H5NO2,7.186673
156,C3H5NO2,7.208715
56,C3H5NO2,7.290475
133,C3H5NO2,7.291355
159,C3H5NO2,7.298643
129,C3H5NO2,7.368331
9,C2H5NO2,7.378506
54,C3H5NO2,7.408866
131,C3H5NO2,7.415402
42,C3H5NO2,7.418609
27,C3H5NO2,7.479265
115,C3H5NO2,7.500264
1,C2H3N3O2,7.546627
2,C2H3N3O2,7.636280
45,C3H5NO2,7.698002
126,C3H5NO2,7.739481
158,C3H5NO2,7.741122
60,C3H5NO2,7.743942
147,C3H5NO2,7.751765
281,C5H5NO,7.805736
138,C3H5NO2,7.831195
53,C3H5NO2,7.957009
120,C3H5NO2,7.963065
272,C5H5NO,7.975831
57,C3H5NO2,8.026168
43,C3H5NO2,8.034600
242,C5H5NO,8.040986
148,C3H5NO2,8.043725
254,C5H5NO,8.101209
121,C3H5NO2,8.122672
137,C3H5NO2,8.135043
52,C3H5NO2,8.162808
40,C3H5NO2,8.165765
150,C3H5NO2,8.235793
278,C5H5NO,8.289603
6,C2H5NO2,8.399895
251,C5H5NO,8.423267
116,C3H5NO2,8.521029
163,C3H5NO2,8.527536
144,C3H5NO2,8.590660
262,C5H5NO,8.689891
142,C3H5NO2,8.759368
161,C3H5NO2,8.778267
166,C3H5NO2,8.833551
77,C3H5NO2,8.864936
3,C2H3N3O2,8.956052
195,C5H5NO,8.965795
95,C3H5NO2,8.995178
275,C5H5NO,9.077573
74,C3H5NO2,9.108413
259,C5H5NO,9.205834
174,C3H5NO2,9.205890
20,C3H5NO2,9.281639
169,C3H5NO2,9.498371
261,C5H5NO,9.513375
155,C3H5NO2,9.518709
205,C5H5NO,9.646120
271,C5H5NO,9.717311
198,C5H5NO,9.730333
0,C2H3N3O2,9.735793
227,C5H5NO,9.759450
110,C3H5NO2,9.783281
253,C5H5NO,9.886244
234,C5H5NO,10.014401
224,C5H5NO,10.049759
274,C5H5NO,10.302445
223,C5H5NO,10.392798
160,C3H5NO2,10.492096
276,C5H5NO,10.507441
199,C5H5NO,10.533795
171,C3H5NO2,10.642137
15,C2HNO3,10.665319
266,C5H5NO,10.931789
250,C5H5NO,11.027614
285,C5H5NO,11.029067
194,C5H5NO,11.039997
236,C5H5NO,11.053336
202,C5H5NO,11.055880
208,C5H5NO,11.064838
207,C5H5NO,11.131792
282,C5H5NO,11.199640
36,C3H5NO2,11.313724
283,C5H5NO,11.322358
190,C5H5NO,11.402095
248,C5H5NO,11.459413
123,C3H5NO2,11.490020
220,C5H5NO,11.583845
270,C5H5NO,11.586049
239,C5H5NO,11.641243
258,C5H5NO,11.734342
245,C5H5NO,11.735125
152,C3H5NO2,11.750621
119,C3H5NO2,11.771371
241,C5H5NO,11.907552
109,C3H5NO2,11.955907
128,C3H5NO2,11.957369
213,C5H5NO,11.963376
268,C5H5NO,12.123933
107,C3H5NO2,12.153499
225,C5H5NO,12.199857
246,C5H5NO,12.283363
89,C3H5NO2,12.328828
221,C5H5NO,12.357421
191,C5H5NO,12.375874
269,C5H5NO,12.406664
256,C5H5NO,12.456642
212,C5H5NO,12.527694
218,C5H5NO,12.569242
197,C5H5NO,12.616947
219,C5H5NO,12.639142
125,C3H5NO2,12.670593
263,C5H5NO,12.739510
264,C5H5NO,12.762900
13,C2HNO,12.821434
124,C3H5NO2,12.831674
127,C3H5NO2,12.892712
240,C5H5NO,12.987574
201,C5H5NO,13.025457
284,C5H5NO,13.069367
279,C5H5NO,13.070875
192,C5H5NO,13.079969
209,C5H5NO,13.091452
260,C5H5NO,13.145504
255,C5H5NO,13.193762
193,C5H5NO,13.231466
235,C5H5NO,13.244911
280,C5H5NO,13.428284
122,C3H5NO2,13.436112
210,C5H5NO,13.548051
187,C3HNO2,13.613978
154,C3H5NO2,13.657847
196,C5H5NO,13.667408
252,C5H5NO,13.725279
216,C5H5NO,13.771227
211,C5H5NO,13.774356
214,C5H5NO,13.893762
177,C3H5NO2,13.905618
217,C5H5NO,13.967925
265,C5H5NO,14.006865
244,C5H5NO,14.037099
215,C5H5NO,14.045033
238,C5H5NO,14.365272
186,C3HNO2,14.601352
228,C5H5NO,14.603868
14,C2HNO,14.640469
226,C5H5NO,14.674734
257,C5H5NO,14.719182
12,C2HNO,14.871963
247,C5H5NO,15.293206
267,C5H5NO,15.370348
237,C5H5NO,15.621453
222,C5H5NO,16.045966
11,C2HNO,16.250423
273,C5H5NO,16.300900
188,C3HNO2,16.342859
189,C3HNO2,16.383346
277,C5H5NO,16.546702
